Kryterium,Waga kryterium,Podkryterium - Obiekt,Waga podkryterium,Jednostka w buforze,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W47,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W48,W37,W38,W39,W40,W41,W42,W49,W43,W44,W45,W46,W50
,,Suma robót ziemnych,3,m3,3 216 347.68,1 282 659.59,2 927 745.13,2 503 743.65,2 192 530.84,2 148 234.38,2 079 715.06,3 421 678.70,2 854 154.21,1 692 476.75,1 650 764.68,2 594 446.83,1 508 629.12,1 703 630.28,1 861 779.05,1 692 645.21,2 255 353.62,1 845 092.69,3 105 012.97,2 479 215.67,3 080 578.69,2 013 047.47,2 067 399.30,1 867 222.73,2 668 292.84,3 706 502.96,1 654 499.15,3 523 815.76,2 075 711.68,2 740 367.92,2 834 559.67,2 633 226.77,3 690 989.96,2 954 834.32,2 999 280.57,2 077 365.40,3 088 213.86,3 171 849.79,3 618 894.56,2 524 486.19,2 710 595.81,3 034 535.04,3 038 050.78,2 931 016.86,3 389 412.94,4 403 493.93,2 868 514.88,2 549 440.32,2 655 749.36,2 134 453.45
,,Długość tuneli w ciągu trasy,5,m,"408,89",1 724.15,"699,52","209,28",1 134.74,"786,01",1 251.37,1 611.14,"709,62","0,00","501,45","347,00",1 623.98,1 557.87,"184,99","808,03","772,27",1 328.10,1 582.80,"196,03","989,70","239,79","710,03","0,00","795,57","576,44",1 146.75,"343,99","903,55",1 092.11,1 123.28,1 445.34,"762,81","906,27","408,98","170,49",1 206.51,"227,80","304,57",1 266.78,"498,06","0,00","637,44","0,00","414,53","0,00","702,74","338,49","542,94","582,70"
,,Długość estakad,3,m,"445,83","70,00","330,71","549,93","103,64","464,53","0,00","0,00","344,49","652,95","537,70","592,53","365,49","111,99","411,70","0,00","432,19","324,95",1 353.75,"0,00","489,38","42,81","442,18","269,06","0,00",1 370.56,"709,32","566,65",1 537.30,"279,79",1 010.50,1 259.65,1 504.48,1 768.11,"223,91","969,37","599,23","0,00",2 306.25,"0,00",1 845.15,"583,46","0,00",1 082.20,"168,73",1 394.10,1 064.91,"87,75",2 076.91,"579,53"
,,Ilość przepustów lub mostów pod S7 – kolizje z rzekami i ciekami,1,szt.,23,13,21,18,17,21,16,22,21,18,20,13,20,31,34,25,28,8,25,24,13,27,21,18,24,22,19,25,18,19,17,24,50,24,22,26,18,19,29,17,29,21,14,32,27,19,40,20,19,21
,,Obszar wykupu gruntów,4,m2,807 894.91,337 593.67,833 698.95,563 197.60,388 553.80,418 617.21,408 424.65,716 552.74,828 478.30,597 959.20,513 684.05,511 634.04,476 300.69,506 594.20,579 712.55,553 225.55,480 430.10,519 059.42,467 294.56,614 429.30,585 659.14,571 174.47,822 594.18,682 137.64,841 050.86,846 424.30,495 336.71,706 837.83,496 869.84,679 242.90,731 681.26,726 631.48,902 693.98,861 491.69,707 802.58,677 355.07,662 879.61,439 413.29,1 030 538.49,659 612.60,686 005.57,767 119.45,733 879.66,847 000.36,808 034.43,842 627.48,767 347.79,685 717.82,724 554.66,833 858.13
"Środowiskowe
(Obszary przyrodniczo chronione)",5,Pomnik Przyrody,5,szt.,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
,,Lasy RDLP,1,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",37 317.64,44 142.61,36 635.88,24 922.35,25 269.14,"57,42","0,00","0,00",15 772.33,"0,00",36 075.63,9 620.52,32 543.05,"0,00",46 264.62,"0,00","0,00",12 444.94,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",70 830.36,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Korytarze Ekologiczne,2,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Obszar Natura 2000,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Rezerwat przyrody,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
